date,interest,balance
2000-01-01,4.75,100.01271488301636
2000-01-02,4.75,100.02543138271518
2000-01-03,4.75,100.0381494993021
2000-01-04,4.75,100.05086923298263
2000-01-05,4.75,100.06359058396244
2000-01-06,4.75,100.07631355244715
2000-01-07,4.75,100.08903813864241
2000-01-08,4.75,100.10176434275391
2000-01-09,4.75,100.1144921649874
2000-01-10,4.75,100.12722160554857
2000-01-11,4.75,100.13995266464323
2000-01-12,4.75,100.15268534247717
2000-01-13,4.75,100.16541963925619
2000-01-14,4.75,100.17815555518614
2000-01-15,4.75,100.19089309047291
2000-01-16,4.75,100.20363224532241
2000-01-17,4.75,100.2163730199405
2000-01-18,4.75,100.22911541453321
2000-01-19,4.75,100.2418594293065
2000-01-20,4.75,100.25460506446633
2000-01-21,4.75,100.26735232021878
2000-01-22,4.75,100.28010119676986
2000-01-23,4.75,100.29285169432572
2000-01-24,4.75,100.30560381309239
2000-01-25,4.75,100.31835755327607
2000-01-26,4.75,100.33111291508288
2000-01-27,4.75,100.34386989871903
2000-01-28,4.75,100.35662850439073
2000-01-29,4.75,100.36938873230422
2000-01-30,4.75,100.38215058266573
2000-01-31,4.75,100.3949140556816
2000-02-01,4.75,100.40767915155814
2000-02-02,4.75,100.4204458705017
2000-02-03,4.75,100.4332142127186
2000-02-04,4.75,100.4459841784153
2000-02-05,4.75,100.45875576779821
2000-02-06,4.75,100.47152898107375
2000-02-07,4.75,100.48430381844841
2000-02-08,4.75,100.49708028012874
2000-02-09,4.75,100.50985836632118
2000-02-10,5.0,100.52329458621358
2000-02-11,5.0,100.53673260226815
2000-02-12,5.0,100.55017241472497
2000-02-13,5.0,100.56361402382426
2000-02-14,5.0,100.57705742980612
2000-02-15,5.0,100.59050263291078
2000-02-16,5.0,100.60394963337849
2000-02-17,5.0,100.61739843144954
2000-02-18,5.0,100.6308490273642
2000-02-19,5.0,100.64430142136283
2000-02-20,5.0,100.6577556136858
2000-02-21,5.0,100.67121160457349
2000-02-22,5.0,100.68466939426632
2000-02-23,5.0,100.69812898300484
2000-02-24,5.0,100.71159037102943
2000-02-25,5.0,100.72505355858073
2000-02-26,5.0,100.73851854589921
2000-02-27,5.0,100.75198533322552
2000-02-28,5.0,100.76545392080027
2000-02-29,5.0,100.77892430886412
2000-03-01,5.0,100.79239649765776
2000-03-02,5.0,100.80587048742191
2000-03-03,5.0,100.81934627839732
2000-03-04,5.0,100.8328238708248
2000-03-05,5.0,100.84630326494512
2000-03-06,5.0,100.8597844609992
2000-03-07,5.0,100.87326745922786
2000-03-08,5.0,100.88675225987207
2000-03-09,5.0,100.90023886317275
2000-03-10,5.0,100.91372726937087
2000-03-11,5.0,100.92721747870745
2000-03-12,5.0,100.94070949142355
2000-03-13,5.0,100.95420330776024
2000-03-14,5.0,100.96769892795861
