#	Company	Symbol	Weight	      Price	Chg	% Chg
1	Apple Inc.	AAPL	7.05%	   216.98	-3.86	(-1.75%)
2	Microsoft Corp	MSFT	5.98%	   383.27	2.82	(0.74%)
3	Nvidia Corp	NVDA	5.64%	   115.74	6.98	(6.42%)
4	Amazon.com Inc	AMZN	3.89%	   198.89	2.30	(1.17%)
5	Meta Platforms, Inc. Class A	META	2.79%	   619.56	13.85	(2.29%)
6	Alphabet Inc. Class A	GOOGL	2.03%	   167.11	3.07	(1.87%)
7	Berkshire Hathaway Class B	BRK.B	1.92%	   495.94	-0.31	(-0.06%)
8	Broadcom Inc.	AVGO	1.88%	   194.23	4.14	(2.18%)
9	Alphabet Inc. Class C	GOOG	1.67%	   169.00	3.02	(1.82%)
10	Eli Lilly & Co.	LLY	1.37%	   821.86	-2.20	(-0.27%)
11	Jpmorgan Chase & Co.	JPM	1.36%	   227.90	-1.24	(-0.54%)
12	Tesla, Inc.	TSLA	1.36%	   248.09	17.51	(7.59%)
13	Visa Inc.	V	1.21%	   332.84	0.70	(0.21%)
14	Exxon Mobil Corporation	XOM	1.01%	   109.13	-0.03	(-0.03%)
15	Unitedhealth Group Incorporated	UNH	0.95%	   481.11	-4.93	(-1.01%)
16	Mastercard Incorporated	MA	0.91%	   524.64	-1.16	(-0.22%)
17	Costco Wholesale Corp	COST	0.87%	   927.08	-3.41	(-0.37%)
18	Procter & Gamble Company	PG	0.86%	   168.37	-4.75	(-2.74%)
19	Johnson & Johnson	JNJ	0.84%	   162.85	-3.01	(-1.81%)
20	Netflix Inc	NFLX	0.81%	   919.68	24.58	(2.75%)
21	Walmart Inc.	WMT	0.80%	   85.20	-2.24	(-2.56%)
22	Abbvie Inc.	ABBV	0.80%	   212.06	-1.53	(-0.72%)
23	Home Depot, Inc.	HD	0.77%	   364.73	-3.43	(-0.93%)
24	Coca-Cola Company	KO	0.58%	   69.94	-1.10	(-1.55%)
25	Salesforce, Inc.	CRM	0.56%	   284.58	7.53	(2.72%)
26	Bank of America Corporation	BAC	0.56%	   39.91	0.30	(0.76%)
27	Chevron Corporation	CVX	0.54%	   152.67	-1.41	(-0.92%)
28	Cisco Systems, Inc.	CSCO	0.51%	   60.46	-0.21	(-0.35%)
29	Merck & Co., Inc.	MRK	0.51%	   93.35	-1.38	(-1.46%)
30	Philip Morris International Inc.	PM	0.50%	   151.32	-0.78	(-0.51%)
31	Oracle Corp	ORCL	0.49%	   150.89	6.71	(4.65%)
32	International Business Machines Corporation	IBM	0.49%	   249.63	0.68	(0.27%)
33	Abbott Laboratories	ABT	0.49%	   130.28	-2.38	(-1.79%)
34	Wells Fargo & Co.	WFC	0.47%	   68.93	1.65	(2.45%)
35	Mcdonald's Corporation	MCD	0.46%	   299.40	-7.36	(-2.40%)
